type,date,place,age,numer of items,total amount(NTD)
交通,2016-04,南投縣,0-20,154.0,188972.0
交通,2016-04,南投縣,20-25,3266.0,2059066.0
交通,2016-04,南投縣,25-30,9966.0,6756097.0
交通,2016-04,南投縣,30-35,17011.0,12752290.0
交通,2016-04,南投縣,35-40,21662.0,17481393.0
交通,2016-04,南投縣,40-45,20381.0,16592262.0
交通,2016-04,南投縣,45-50,20233.0,17236529.0
交通,2016-04,南投縣,50-55,16495.0,14659402.0
交通,2016-04,南投縣,55-60,11587.0,9727675.0
交通,2016-04,南投縣,60-65,6537.0,5700634.0
交通,2016-04,南投縣,65-70,2532.0,2014589.0
交通,2016-04,南投縣,70-75,565.0,433083.0
交通,2016-04,南投縣,75-80,259.0,178006.0
交通,2016-04,南投縣,80-,76.0,44229.0
交通,2016-04,台東縣,0-20,65.0,45883.0
交通,2016-04,台東縣,20-25,1270.0,967990.0
交通,2016-04,台東縣,25-30,3135.0,2575377.0
交通,2016-04,台東縣,30-35,4598.0,4070616.0
交通,2016-04,台東縣,35-40,5235.0,4866154.0
交通,2016-04,台東縣,40-45,5221.0,5523970.0
交通,2016-04,台東縣,45-50,5035.0,4943151.0
交通,2016-04,台東縣,50-55,4325.0,4732820.0
交通,2016-04,台東縣,55-60,2878.0,3031798.0
交通,2016-04,台東縣,60-65,1741.0,1813667.0
交通,2016-04,台東縣,65-70,702.0,663798.0
交通,2016-04,台東縣,70-75,184.0,157802.0
交通,2016-04,台東縣,75-80,63.0,106642.0
交通,2016-04,台東縣,80-,33.0,21993.0
交通,2016-04,嘉義市,0-20,117.0,58787.0
交通,2016-04,嘉義市,20-25,2275.0,1320070.0
交通,2016-04,嘉義市,25-30,6870.0,4965481.0
交通,2016-04,嘉義市,30-35,11269.0,9102219.0
交通,2016-04,嘉義市,35-40,13523.0,11631032.0
交通,2016-04,嘉義市,40-45,13605.0,12591054.0
交通,2016-04,嘉義市,45-50,13388.0,12506899.0
交通,2016-04,嘉義市,50-55,10564.0,9151554.0
交通,2016-04,嘉義市,55-60,6207.0,6611698.0
交通,2016-04,嘉義市,60-65,3811.0,3769811.0
交通,2016-04,嘉義市,65-70,1634.0,1340407.0
交通,2016-04,嘉義市,70-75,422.0,293516.0
交通,2016-04,嘉義市,75-80,197.0,219541.0
交通,2016-04,嘉義市,80-,51.0,72712.0
交通,2016-04,嘉義縣,0-20,261.0,205819.0
交通,2016-04,嘉義縣,20-25,3989.0,2918664.0
交通,2016-04,嘉義縣,25-30,11609.0,9224241.0
交通,2016-04,嘉義縣,30-35,18481.0,15910590.0
交通,2016-04,嘉義縣,35-40,23233.0,20531526.0
交通,2016-04,嘉義縣,40-45,23895.0,21490477.0
交通,2016-04,嘉義縣,45-50,23858.0,22640341.0
交通,2016-04,嘉義縣,50-55,19022.0,18146816.0
交通,2016-04,嘉義縣,55-60,11847.0,11169301.0
交通,2016-04,嘉義縣,60-65,7349.0,6911702.0
交通,2016-04,嘉義縣,65-70,3365.0,2835100.0
交通,2016-04,嘉義縣,70-75,1067.0,906809.0
交通,2016-04,嘉義縣,75-80,385.0,328003.0
交通,2016-04,嘉義縣,80-,116.0,102714.0
交通,2016-04,基隆市,0-20,80.0,31904.0
交通,2016-04,基隆市,20-25,1671.0,931759.0
交通,2016-04,基隆市,25-30,5274.0,3300070.0
交通,2016-04,基隆市,30-35,8274.0,5817338.0
交通,2016-04,基隆市,35-40,10627.0,7426572.0
交通,2016-04,基隆市,40-45,10450.0,8103293.0
交通,2016-04,基隆市,45-50,10404.0,7933716.0
交通,2016-04,基隆市,50-55,9592.0,7640480.0
交通,2016-04,基隆市,55-60,6731.0,5258876.0
交通,2016-04,基隆市,60-65,4233.0,3141025.0
交通,2016-04,基隆市,65-70,1670.0,1095254.0
交通,2016-04,基隆市,70-75,511.0,312785.0
交通,2016-04,基隆市,75-80,137.0,88512.0
交通,2016-04,基隆市,80-,42.0,19852.0
交通,2016-04,宜蘭縣,0-20,143.0,88228.0
交通,2016-04,宜蘭縣,20-25,3107.0,1889787.0
交通,2016-04,宜蘭縣,25-30,9884.0,6751738.0
交通,2016-04,宜蘭縣,30-35,16958.0,13887281.0
交通,2016-04,宜蘭縣,35-40,20870.0,17759846.0
交通,2016-04,宜蘭縣,40-45,20573.0,18203072.0
交通,2016-04,宜蘭縣,45-50,19943.0,18499378.0
交通,2016-04,宜蘭縣,50-55,15248.0,14650582.0
交通,2016-04,宜蘭縣,55-60,10489.0,10552843.0
交通,2016-04,宜蘭縣,60-65,6403.0,6147738.0
