活動名稱,會議室,會議室日期,會議室時間,會議室時段數
**********,A,98/12/02-98/12/02,08:30-12:30,1
**********,B,100/04/14-100/04/14,18:30-22:30,1
**********,A,99/05/03-99/05/03,18:30-22:30,1
**********,A,97/03/27-97/03/27,08:30-17:30,2
**********,A,99/05/06-99/05/06,08:30-17:30,2
**********,A,99/08/27-99/08/27,18:30-22:30,1
**********,A,99/12/03-99/12/03,18:30-22:30,1
**********,B,99/09/02-99/09/02,18:30-22:30,1
**********,A,98/12/17-98/12/18,08:30-17:30,4
**********,A,99/10/16-99/10/16,08:30-12:30,1
**********,A,100/04/12-100/04/12,08:30-22:30,3
**********,A,100/01/03-100/01/03,08:30-17:30,2
**********,A,99/12/02-99/12/03,08:30-17:30,4
**********,A,96/03/11-96/03/11,18:30-22:30,1
**********,A,99/12/31-99/12/31,13:30-17:30,1
**********,A,98/11/19-98/11/19,08:30-12:30,1
**********,A,99/11/21-99/11/21,08:30-17:30,2
**********,A,99/10/22-99/10/22,18:30-22:30,1
**********,A,99/08/08-99/08/08,08:30-17:30,2
**********,A,99/06/26-99/06/26,08:30-17:30,2
**********,A,96/01/10-96/01/10,18:30-22:30,1
**********,B,98/08/07-98/08/07,08:30-12:30,1
**********,B,96/04/03-96/04/03,08:30-12:30,1
**********,B,98/08/13-98/08/13,08:30-12:30,1
**********,B,96/03/09-96/03/09,08:30-17:30,2
**********,B,99/04/14-99/04/14,18:30-22:30,1
**********,A,100/03/07-100/03/07,18:30-22:30,1
**********,B,98/08/13-98/08/13,13:30-17:30,1
**********,A,99/12/01-99/12/01,00:00-07:30,2
**********,B,100/03/08-100/03/08,08:30-17:30,2
**********,B,99/08/19-99/08/19,08:30-12:30,1
**********,A,99/12/16-99/12/16,00:00-07:30,2
**********,A,99/07/07-99/07/07,18:30-22:30,1
**********,A,98/12/02-98/12/02,03:30-07:30,1
**********,A,98/08/06-98/08/06,08:30-12:30,1
**********,B,96/01/13-96/01/13,08:30-17:30,2
